Species	Status	MinT	MaxT
Acheroraptor_temertyorum	extinct	66	72.1
Achillobator_giganticus	extinct	83.6	97.8
Adasaurus_mongoliensis	extinct	66	72.1
Adasaurus_mongoliensis	extinct	66	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Atrociraptor_marshalli	extinct	68.5	72.1
Austroraptor_cabazai	extinct	69	79
Austroraptor_cabazai	extinct	69	79
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Balaur_bondoc	extinct	66	72.1
Bambiraptor_feinbergi	extinct	74.9	83.5
Bambiraptor_feinbergi	extinct	74.9	83.5
Boreonykus_certekorum	extinct	73.3	83.6
Boreonykus_certekorum	extinct	73.3	83.6
Boreonykus_certekorum	extinct	73.3	83.6
Boreonykus_certekorum	extinct	73.3	83.6
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Buitreraptor_gonzalezorum	extinct	93.9	100.5
Changyuraptor_yangi	extinct	122.1	129.7
Dakotaraptor_steini	extinct	66	66.8
Dakotaraptor_steini	extinct	66	66.8
Dakotaraptor_steini	extinct	66	66.8
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Deinonychus_antirrhopus	extinct	108.5	115
Dineobellator_notohesperus	extinct	66.5	69
Dromaeosauroides_bornholmensis	extinct	139.8	145
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	75.8	76.9
Dromaeosaurus_albertensis	extinct	69.1	72
Dromaeosaurus_albertensis	extinct	69.1	72
Dromaeosaurus_albertensis	extinct	69.1	72
Dromaeosaurus_albertensis	extinct	69.1	72
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	74.9	79
Dromaeosaurus_albertensis	extinct	72.1	83.6
Dromaeosaurus_albertensis	extinct	72.1	83.6
Dromaeosaurus_albertensis	extinct	72.1	83.6
Dromaeosaurus_albertensis	extinct	72.1	83.6
Dromaeosaurus_albertensis	extinct	72.1	83.6
Graciliraptor_lujiatunensis	extinct	122.1	124.1
Halszkaraptor_escuilliei	extinct	72.1	83.6
Hesperonychus_elizabethae	extinct	75.8	76.9
Hesperonychus_elizabethae	extinct	75.8	76.9
Hesperonychus_elizabethae	extinct	75.8	76.9
Hesperonychus_elizabethae	extinct	75.8	76.9
Hulsanpes_perlei	extinct	72.1	83.6
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Itemirus_medullaris	extinct	89.8	93.9
Linheraptor_exquisitus	extinct	72.1	83.6
Luanchuanraptor_henanensis	extinct	66	72.1
Mahakala_omnogovae	extinct	72.1	83.6
Microraptor_gui	extinct	113	125
Microraptor_gui	extinct	113	125
Microraptor_hanqingi	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Microraptor_zhaoianus	extinct	113	125
Neuquenraptor_argentinus	extinct	88	91
Neuquenraptor_argentinus	extinct	88	91
