accepted_name	status	max_ma	min_ma
Hadrosauridae	extinct	83.6	72.1
Gryposaurus notabilis	extinct	83.6	72.1
Hadrosauridae	extinct	72.1	66
Maiasaura peeblesorum	extinct	83.6	72.1
Hadrosauridae	extinct	100.5	83.6
Hadrosauridae	extinct	72.1	66
Prosaurolophus maximus	extinct	83.6	72.1
Maiasaura peeblesorum	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Prosaurolophus maximus	extinct	83.6	72.1
Hypacrosaurus stebingeri	extinct	83.6	72.1
Gryposaurus	extinct	83.6	72.1
Maiasaura peeblesorum	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Saurolophinae	extinct	83.6	72.1
Hypacrosaurus stebingeri	extinct	83.6	72.1
Prosaurolophus maximus	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosaurinae	extinct	83.6	72.1
Latirhinus uitstlani	extinct	83.6	72.1
Hadrosaurinae	extinct	83.6	72.1
Hadrosaurinae	extinct	83.6	72.1
Saurolophinae	extinct	83.6	72.1
Edmontosaurus annectens	extinct	72.1	66
Edmontosaurus annectens	extinct	72.1	66
Hadrosaurus	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Saurolophinae	extinct	72.1	66
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Edmontosaurus annectens	extinct	72.1	66
Hadrosauridae	extinct	83.6	72.1
Gryposaurus	extinct	83.6	72.1
Lambeosaurinae	extinct	83.6	72.1
Maiasaura peeblesorum	extinct	83.6	72.1
Brachylophosaurus canadensis	extinct	83.6	72.1
Hadrosauridae	extinct	72.1	66
Lambeosaurinae	extinct	72.1	66
Hadrosauridae	extinct	86.3	83.6
Hadrosauridae	extinct	100.5	93.9
Hadrosauridae	extinct	106.2	100.5
Hadrosauridae	extinct	100.5	93.9
Edmontosaurus	extinct	72.1	66
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	72.1	66
Hadrosaurinae	extinct	83.6	66
Hadrosauridae	extinct	83.6	66
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	72.1	66
Lambeosaurinae	extinct	72.1	66
Edmontosaurus	extinct	83.6	66
Lambeosaurinae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Kritosaurus navajovius	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Naashoibitosaurus ostromi	extinct	83.6	72.1
Lambeosaurinae	extinct	72.1	66
Hadrosauridae	extinct	72.1	66
Kritosaurus navajovius	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Saurolophus angustirostris	extinct	72.1	66
Hadrosauridae	extinct	83.6	72.1
Hadrosaurinae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Charonosaurus jiayinensis	extinct	72.1	66
Hadrosauridae	extinct	83.6	72.1
Hadrosaurinae	extinct	72.1	66
Olorotitan arharensis	extinct	72.1	66
Nipponosaurus sachalinensis	extinct	86.3	72.1
Barsboldia sicinskii	extinct	72.1	66
Pararhabdodon isonensis	extinct	72.1	66
Hadrosauridae	extinct	72.1	66
Huallasaurus australis	extinct	83.6	66
Huallasaurus australis	extinct	83.6	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Hadrosaurinae	extinct	72.1	66
Shantungosaurus	extinct	100.5	72.1
Blasisaurus canudoi	extinct	72.1	66
Hadrosauridae	extinct	72.1	66
Euhadrosauria	extinct	72.1	66
Arenysaurus ardevoli	extinct	72.1	66
Lambeosaurinae	extinct	72.1	66
Euhadrosauria	extinct	72.1	66
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Edmontosaurus annectens	extinct	72.1	66
Edmontosaurus annectens	extinct	72.1	66
Hypacrosaurus altispinus	extinct	72.1	66
Hypacrosaurus altispinus	extinct	72.1	66
Hadrosauridae	extinct	86.3	72.1
Hadrosauridae	extinct	72.1	66
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Edmontosaurus	extinct	72.1	66
Hadrosauridae	extinct	72.1	66
Saurolophus	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
Lambeosaurinae	extinct	83.6	72.1
Hadrosauridae	extinct	83.6	72.1
